Processed,Id,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,Tags
Successfully,179,Thu Nov 12 03:37:01 GST 2020,Thu Nov 12 03:37:02 GST 2020,GET,https://google-gruyere.appspot.com/635875614086661807845761977814445586383/logout,200,OK,586,286,0,563,3484,Medium,"Script, SetCookie, Comment"
Successfully,165,Thu Nov 12 03:37:01 GST 2020,Thu Nov 12 03:37:01 GST 2020,GET,https://google-gruyere.appspot.com/robots.txt,200,OK,45,250,0,492,184,Low,
Successfully,178,Thu Nov 12 03:37:01 GST 2020,Thu Nov 12 03:37:02 GST 2020,GET,https://google-gruyere.appspot.com/sitemap.xml,404,Not Found,496,251,0,411,52,,
Successfully,188,Thu Nov 12 03:37:02 GST 2020,Thu Nov 12 03:37:02 GST 2020,GET,https://google-gruyere.appspot.com/0,200,OK,333,297,0,447,359,Medium,
Successfully,186,Thu Nov 12 03:37:02 GST 2020,Thu Nov 12 03:37:02 GST 2020,GET,https://google-gruyere.appspot.com/1,200,OK,287,297,0,447,359,Medium,
Successfully,189,Thu Nov 12 03:37:02 GST 2020,Thu Nov 12 03:37:02 GST 2020,GET,https://google-gruyere.appspot.com/2,200,OK,302,297,0,447,359,Medium,
Successfully,190,Thu Nov 12 03:37:02 GST 2020,Thu Nov 12 03:37:02 GST 2020,GET,https://google-gruyere.appspot.com/3,200,OK,324,297,0,447,359,Medium,
Successfully,191,Thu Nov 12 03:37:02 GST 2020,Thu Nov 12 03:37:03 GST 2020,GET,https://google-gruyere.appspot.com/4,200,OK,286,297,0,447,359,Medium,
Successfully,192,Thu Nov 12 03:37:02 GST 2020,Thu Nov 12 03:37:03 GST 2020,GET,https://google-gruyere.appspot.com/5,200,OK,281,297,0,447,359,Medium,
Successfully,193,Thu Nov 12 03:37:03 GST 2020,Thu Nov 12 03:37:03 GST 2020,GET,https://google-gruyere.appspot.com/7,200,OK,296,297,0,447,359,Medium,
